
  ╔══════════════════════════════════════╗
  ║   🚀  Skill-Orbit API  v1.0.0        ║
  ║   http://localhost:3001             ║
  ╚══════════════════════════════════════╝

  Endpoints:
  POST  /api/auth/register
  POST  /api/auth/login
  GET   /api/auth/profile
  GET   /api/progress
  POST  /api/progress/lesson
  POST  /api/progress/quiz
  POST  /api/progress/challenge
  POST  /api/progress/sync
  GET   /api/leaderboard
  GET   /api/leaderboard/me
  GET   /api/badges
  GET   /api/lessons

[06:32:06] GET /api/health
[06:32:06] GET /api/auth/profile
[06:32:06] GET /api/progress
[06:32:10] GET /api/health
[06:32:10] GET /api/auth/profile
[06:32:10] GET /api/progress
[06:35:33] GET /api/health
[06:35:33] GET /api/auth/profile
[06:35:33] GET /api/progress
[06:35:36] GET /api/health
[06:36:08] POST /api/auth/register
[06:36:08] GET /api/progress
[06:36:14] GET /api/health
[06:36:14] GET /api/auth/profile
[06:36:14] GET /api/progress
[06:38:07] GET /api/health
[06:38:07] GET /api/auth/profile
[06:38:07] POST /api/progress/sync
[06:38:07] GET /api/progress
[06:38:12] GET /api/health
[06:38:12] GET /api/auth/profile
[06:38:12] POST /api/progress/sync
[06:38:12] GET /api/progress
[06:38:15] GET /api/health
[06:38:38] POST /api/auth/login
[06:38:38] POST /api/progress/sync
[06:38:38] GET /api/progress
[06:38:42] GET /api/health
[06:38:42] GET /api/auth/profile
[06:38:42] POST /api/progress/sync
[06:38:42] GET /api/progress
[06:38:45] GET /api/health
[06:38:45] GET /api/auth/profile
[06:38:45] POST /api/progress/sync
[06:38:45] GET /api/progress
[06:38:46] GET /api/health
[06:38:46] GET /api/auth/profile
[06:38:46] POST /api/progress/sync
[06:38:46] GET /api/progress
[06:38:47] GET /api/health
[06:38:47] GET /api/auth/profile
[06:38:47] POST /api/progress/sync
[06:38:47] GET /api/progress
[06:38:47] GET /api/health
[06:38:47] GET /api/auth/profile
[06:38:47] POST /api/progress/sync
[06:38:47] GET /api/progress
[06:38:47] GET /api/health
[06:38:47] GET /api/auth/profile
[06:38:47] POST /api/progress/sync
[06:38:47] GET /api/progress
[06:38:47] GET /api/health
[06:38:47] GET /api/auth/profile
[06:38:48] POST /api/progress/sync
[06:38:48] GET /api/progress
[06:45:24] GET /api/health
[06:45:24] GET /api/auth/profile
[06:45:24] POST /api/progress/sync
[06:45:24] GET /api/progress
[06:45:28] GET /api/health
[06:45:28] GET /api/auth/profile
[06:45:28] POST /api/progress/sync
[06:45:28] GET /api/progress
[06:45:31] GET /api/health
[06:46:22] POST /api/auth/login
[06:46:22] GET /api/progress
[06:46:26] GET /api/health
[06:46:26] GET /api/auth/profile
[06:46:26] POST /api/progress/sync
[06:46:26] GET /api/progress
[06:47:23] GET /api/health
[06:47:23] GET /api/auth/profile
[06:47:23] POST /api/progress/sync
[06:47:23] GET /api/progress
[06:47:28] GET /api/health
[06:47:28] GET /api/auth/profile
[06:47:28] POST /api/progress/sync
[06:47:28] GET /api/progress
[06:47:32] GET /api/health
[06:47:42] POST /api/auth/login
[06:47:52] POST /api/auth/login
[06:47:54] POST /api/auth/login
[06:47:54] POST /api/auth/login
[06:47:54] POST /api/auth/login
[06:47:55] POST /api/auth/login
[06:47:55] POST /api/auth/login
[06:47:55] POST /api/auth/login
[06:47:55] POST /api/auth/login
[06:47:55] POST /api/auth/login
[06:47:55] POST /api/auth/login
[06:48:29] POST /api/auth/register
[06:48:29] GET /api/progress
[06:48:32] GET /api/health
[06:48:32] GET /api/auth/profile
[06:48:32] GET /api/progress
[06:49:44] GET /api/health
[06:49:44] GET /api/auth/profile
[06:49:44] POST /api/progress/sync
[06:49:44] GET /api/progress
[06:49:49] GET /api/health
[06:49:49] GET /api/auth/profile
[06:49:49] POST /api/progress/sync
[06:49:49] GET /api/progress
[06:49:50] GET /api/health
[06:49:50] GET /api/auth/profile
[06:49:50] POST /api/progress/sync
[06:49:50] GET /api/progress
[06:49:54] POST /api/auth/logout
[06:49:54] GET /api/health
[06:50:13] POST /api/auth/login
[06:50:13] GET /api/progress
[06:50:16] GET /api/health
[06:50:16] GET /api/auth/profile
[06:50:20] GET /api/health
[06:50:20] GET /api/auth/profile
[06:50:25] GET /api/health
[06:50:39] POST /api/auth/login
[06:50:55] GET /api/health
[06:51:01] GET /api/health
[06:51:06] GET /api/health
[06:54:15] POST /api/auth/login
[06:54:23] GET /api/health
[06:55:04] GET /api/health
[06:55:21] GET /api/health
[06:55:25] GET /api/health
[06:55:28] GET /api/health
[07:03:46] GET /api/health
[07:04:24] GET /api/health
[07:05:05] GET /api/health
[07:09:02] GET /api/health
[07:13:13] GET /api/health
[07:13:14] GET /api/health
